# of Doc     Predicted Review     True Review
   1       |       neg       |       pos
   160       |       neg       |       pos
   161       |       pos       |       pos
   162       |       pos       |       pos
   163       |       neg       |       pos
   164       |       neg       |       pos
   165       |       pos       |       pos
   166       |       pos       |       pos
   167       |       pos       |       pos
   168       |       pos       |       pos
   169       |       neg       |       pos
   170       |       neg       |       pos
   171       |       pos       |       pos
   172       |       pos       |       pos
   173       |       neg       |       pos
   174       |       pos       |       pos
   175       |       pos       |       pos
   176       |       pos       |       pos
   177       |       pos       |       pos
   178       |       pos       |       pos
   179       |       pos       |       pos
   180       |       neg       |       pos
   181       |       pos       |       pos
   182       |       pos       |       pos
   183       |       neg       |       pos
   184       |       pos       |       pos
   185       |       pos       |       pos
   186       |       pos       |       pos
   187       |       pos       |       pos
   188       |       pos       |       pos
   189       |       pos       |       pos
   190       |       pos       |       pos
   191       |       neg       |       pos
   192       |       pos       |       pos
   193       |       pos       |       pos
   194       |       neg       |       pos
   195       |       pos       |       pos
   196       |       neg       |       pos
   197       |       pos       |       pos
   198       |       neg       |       pos
   199       |       neg       |       pos
   200       |       pos       |       pos
   201       |       pos       |       pos
   202       |       pos       |       pos
   203       |       pos       |       pos
   204       |       pos       |       pos
   205       |       pos       |       pos
   206       |       pos       |       pos
   207       |       pos       |       pos
   208       |       pos       |       pos
   209       |       neg       |       pos
   210       |       pos       |       pos
   211       |       pos       |       pos
   212       |       pos       |       pos
   213       |       neg       |       pos
   214       |       pos       |       pos
   215       |       neg       |       pos
   216       |       pos       |       pos
   217       |       pos       |       pos
   218       |       pos       |       pos
   219       |       pos       |       pos
   220       |       pos       |       pos
   221       |       pos       |       pos
   222       |       pos       |       pos
   223       |       neg       |       pos
   224       |       pos       |       pos
   225       |       neg       |       pos
   226       |       pos       |       pos
   227       |       pos       |       pos
   228       |       pos       |       pos
   229       |       neg       |       pos
   230       |       pos       |       pos
   231       |       pos       |       pos
   232       |       pos       |       pos
   233       |       pos       |       pos
   234       |       pos       |       pos
   235       |       pos       |       pos
   236       |       pos       |       pos
   237       |       pos       |       pos
   238       |       neg       |       pos
   239       |       pos       |       pos
   240       |       neg       |       pos
   241       |       pos       |       pos
   242       |       neg       |       pos
   243       |       neg       |       pos
   244       |       pos       |       pos
   245       |       pos       |       pos
   246       |       pos       |       pos
   247       |       pos       |       pos
   248       |       pos       |       pos
   249       |       pos       |       pos
   250       |       neg       |       pos
   251       |       pos       |       pos
   252       |       pos       |       pos
   253       |       neg       |       pos
   254       |       neg       |       pos
   255       |       neg       |       pos
   256       |       pos       |       pos
   257       |       neg       |       pos
   258       |       pos       |       pos
   259       |       pos       |       pos
   260       |       pos       |       pos
   261       |       pos       |       pos
   262       |       neg       |       pos
   263       |       pos       |       pos
   264       |       neg       |       pos
   265       |       pos       |       pos
   266       |       pos       |       pos
   267       |       neg       |       pos
   268       |       pos       |       pos
   269       |       pos       |       pos
   270       |       pos       |       pos
   271       |       pos       |       pos
   272       |       neg       |       pos
   273       |       pos       |       pos
   274       |       neg       |       pos
   275       |       pos       |       pos
   276       |       pos       |       pos
   277       |       pos       |       pos
   278       |       pos       |       pos
   279       |       pos       |       pos
   280       |       neg       |       pos
   281       |       neg       |       pos
   282       |       pos       |       pos
   283       |       pos       |       pos
   284       |       pos       |       pos
   285       |       pos       |       pos
   286       |       pos       |       pos
   287       |       pos       |       pos
   288       |       neg       |       pos
   289       |       pos       |       pos
   290       |       pos       |       pos
   291       |       neg       |       pos
   292       |       pos       |       pos
   293       |       pos       |       pos
   294       |       neg       |       pos
   295       |       pos       |       pos
   296       |       pos       |       pos
   297       |       pos       |       pos
   298       |       pos       |       pos
   299       |       neg       |       pos
   300       |       pos       |       pos
   301       |       pos       |       pos
   302       |       pos       |       pos
   303       |       pos       |       pos
   304       |       pos       |       pos
   305       |       neg       |       pos
   306       |       pos       |       pos
   307       |       pos       |       pos
   308       |       neg       |       pos
   309       |       pos       |       pos
   310       |       neg       |       pos
   311       |       pos       |       pos
   312       |       pos       |       pos
   313       |       pos       |       pos
   314       |       pos       |       pos
   315       |       neg       |       pos
   316       |       pos       |       pos
   317       |       neg       |       pos
   318       |       pos       |       pos
   319       |       neg       |       pos
   320       |       neg       |       pos
   321       |       pos       |       pos
   322       |       pos       |       pos
   323       |       pos       |       pos
   324       |       pos       |       pos
   325       |       pos       |       pos
   326       |       pos       |       pos
   327       |       neg       |       pos
   328       |       neg       |       pos
   329       |       pos       |       pos
   330       |       pos       |       pos
   331       |       pos       |       pos
   332       |       neg       |       pos
   333       |       pos       |       pos
   334       |       pos       |       pos
   335       |       neg       |       pos
   336       |       neg       |       pos
   337       |       pos       |       pos
   338       |       pos       |       pos
   339       |       pos       |       pos
   340       |       neg       |       pos
   341       |       pos       |       pos
   342       |       pos       |       pos
   343       |       pos       |       pos
   344       |       pos       |       pos
   345       |       neg       |       pos
   346       |       pos       |       pos
   347       |       pos       |       pos
   348       |       pos       |       pos
   349       |       neg       |       pos
   350       |       pos       |       pos
   351       |       neg       |       pos
   352       |       pos       |       pos
   353       |       pos       |       pos
   354       |       pos       |       pos
   355       |       pos       |       pos
   356       |       neg       |       pos
   357       |       pos       |       pos
   358       |       pos       |       pos
   359       |       pos       |       pos
   360       |       pos       |       pos
   361       |       pos       |       pos
   362       |       pos       |       pos
   363       |       pos       |       pos
   364       |       pos       |       pos
   365       |       pos       |       pos
   366       |       neg       |       pos
   367       |       neg       |       pos
   368       |       pos       |       pos
   369       |       neg       |       pos
   370       |       neg       |       pos
   371       |       pos       |       pos
   372       |       neg       |       pos
   373       |       pos       |       pos
   374       |       neg       |       pos
   375       |       neg       |       pos
   376       |       pos       |       pos
   377       |       pos       |       pos
   378       |       pos       |       pos
   379       |       pos       |       pos
   380       |       pos       |       pos
   381       |       pos       |       pos
   382       |       pos       |       pos
   383       |       neg       |       pos
   384       |       pos       |       pos
   385       |       pos       |       pos
   386       |       pos       |       pos
   387       |       pos       |       pos
   388       |       neg       |       pos
   389       |       pos       |       pos
   390       |       neg       |       pos
   391       |       pos       |       pos
   392       |       pos       |       pos
   393       |       neg       |       pos
   394       |       pos       |       pos
   395       |       pos       |       pos
   396       |       pos       |       pos
   397       |       pos       |       pos
   398       |       neg       |       pos
   399       |       pos       |       pos
   400       |       pos       |       pos
   401       |       pos       |       pos
   402       |       neg       |       pos
   403       |       pos       |       pos
   404       |       pos       |       pos
   405       |       pos       |       pos
   406       |       pos       |       pos
   407       |       neg       |       pos
   408       |       pos       |       pos
   409       |       pos       |       pos
   410       |       neg       |       pos
   411       |       pos       |       pos
   412       |       pos       |       pos
   413       |       pos       |       pos
   414       |       neg       |       pos
   415       |       pos       |       pos
   416       |       pos       |       pos
   417       |       neg       |       pos
   418       |       pos       |       pos
   419       |       pos       |       pos
   420       |       neg       |       pos
   421       |       neg       |       pos
   422       |       pos       |       pos
   423       |       pos       |       pos
   424       |       neg       |       pos
   425       |       neg       |       pos
   426       |       pos       |       pos
   427       |       pos       |       pos
   428       |       pos       |       pos
   429       |       pos       |       pos
   430       |       pos       |       pos
   431       |       pos       |       pos
   432       |       pos       |       pos
   433       |       pos       |       pos
   434       |       pos       |       pos
   435       |       pos       |       pos
   436       |       pos       |       pos
   437       |       pos       |       pos
   438       |       pos       |       pos
   439       |       pos       |       pos
   440       |       pos       |       pos
   441       |       neg       |       pos
   442       |       pos       |       pos
   443       |       pos       |       pos
   444       |       pos       |       pos
   445       |       pos       |       pos
   446       |       pos       |       pos
   447       |       neg       |       pos
   448       |       neg       |       pos
   449       |       neg       |       pos
   450       |       pos       |       pos
   451       |       pos       |       pos
   452       |       pos       |       pos
   453       |       pos       |       pos
   454       |       pos       |       pos
   455       |       pos       |       pos
   456       |       pos       |       pos
   457       |       pos       |       pos
   458       |       pos       |       pos
   459       |       pos       |       pos
   460       |       pos       |       pos
   461       |       pos       |       pos
   462       |       pos       |       pos
   463       |       pos       |       pos
   464       |       pos       |       pos
   465       |       pos       |       pos
   466       |       neg       |       pos
   467       |       pos       |       pos
   468       |       pos       |       pos
   469       |       pos       |       pos
   470       |       pos       |       pos
   471       |       neg       |       pos
   472       |       pos       |       pos
   473       |       pos       |       pos
   474       |       pos       |       pos
   475       |       pos       |       pos
   476       |       pos       |       pos
   477       |       neg       |       pos
   478       |       neg       |       pos
   479       |       pos       |       pos
   480       |       neg       |       pos
   481       |       pos       |       pos
   482       |       neg       |       pos
   483       |       neg       |       pos
   484       |       pos       |       pos
   485       |       pos       |       pos
   486       |       pos       |       pos
   487       |       pos       |       pos
   488       |       pos       |       pos
   489       |       pos       |       pos
   490       |       neg       |       pos
   491       |       neg       |       pos
   492       |       pos       |       pos
   493       |       pos       |       pos
   494       |       neg       |       pos
   495       |       pos       |       pos
   496       |       pos       |       pos
   497       |       neg       |       pos
   498       |       pos       |       pos
   499       |       pos       |       pos
   500       |       pos       |       pos
   501       |       pos       |       pos
   502       |       pos       |       pos
   503       |       pos       |       pos
   504       |       pos       |       pos
   505       |       pos       |       pos
   506       |       neg       |       pos
   507       |       pos       |       pos
   508       |       neg       |       pos
   509       |       pos       |       pos
   510       |       pos       |       pos
   511       |       neg       |       pos
   512       |       pos       |       pos
   513       |       pos       |       pos
   514       |       pos       |       pos
   515       |       pos       |       pos
   516       |       pos       |       pos
   517       |       pos       |       pos
   518       |       pos       |       pos
   519       |       pos       |       pos
   520       |       pos       |       pos
   521       |       pos       |       pos
   522       |       pos       |       pos
   523       |       pos       |       pos
   524       |       neg       |       pos
   525       |       pos       |       pos
   526       |       neg       |       pos
   527       |       pos       |       pos
   528       |       pos       |       pos
   529       |       neg       |       pos
   530       |       neg       |       pos
   531       |       pos       |       pos
   532       |       pos       |       pos
   533       |       neg       |       pos
   534       |       pos       |       pos
   535       |       neg       |       pos
   536       |       pos       |       pos
   537       |       pos       |       pos
   538       |       pos       |       pos
   539       |       pos       |       pos
   540       |       pos       |       pos
   541       |       pos       |       pos
   542       |       neg       |       pos
   543       |       pos       |       pos
   544       |       pos       |       pos
   545       |       pos       |       pos
   546       |       pos       |       pos
   547       |       neg       |       pos
   548       |       pos       |       pos
   549       |       pos       |       pos
   550       |       pos       |       pos
   551       |       pos       |       pos
   552       |       pos       |       pos
   553       |       neg       |       pos
   554       |       pos       |       pos
   555       |       pos       |       pos
   556       |       pos       |       pos
   557       |       pos       |       pos
   558       |       pos       |       pos
   559       |       neg       |       pos
   560       |       neg       |       pos
   561       |       neg       |       pos
   562       |       pos       |       pos
   563       |       neg       |       pos
   564       |       neg       |       pos
   565       |       pos       |       pos
   566       |       pos       |       pos
   567       |       pos       |       pos
   568       |       neg       |       pos
   569       |       pos       |       pos
   570       |       pos       |       pos
   571       |       pos       |       pos
   572       |       pos       |       pos
   573       |       pos       |       pos
   574       |       pos       |       pos
   575       |       pos       |       pos
   576       |       pos       |       pos
   577       |       neg       |       pos
   578       |       neg       |       pos
   579       |       pos       |       pos
   580       |       neg       |       pos
   581       |       pos       |       pos
   582       |       pos       |       pos
   583       |       pos       |       pos
   584       |       neg       |       pos
   585       |       pos       |       pos
   586       |       pos       |       pos
   587       |       neg       |       pos
   588       |       pos       |       pos
   589       |       pos       |       pos
   590       |       pos       |       pos
   591       |       neg       |       pos
   592       |       pos       |       pos
   593       |       pos       |       pos
   594       |       neg       |       pos
   595       |       pos       |       pos
   596       |       pos       |       pos
   597       |       pos       |       pos
   598       |       pos       |       pos
   599       |       pos       |       pos
   600       |       pos       |       pos
   601       |       pos       |       pos
   602       |       neg       |       pos
   603       |       neg       |       pos
   604       |       pos       |       pos
   605       |       neg       |       pos
   606       |       neg       |       pos
   607       |       pos       |       pos
   608       |       pos       |       pos
   609       |       pos       |       pos
   610       |       pos       |       pos
   611       |       neg       |       pos
   612       |       neg       |       pos
   613       |       neg       |       pos
   614       |       pos       |       pos
   615       |       pos       |       pos
   616       |       pos       |       pos
   617       |       pos       |       pos
   618       |       neg       |       pos
   619       |       pos       |       pos
   620       |       pos       |       pos
   621       |       pos       |       pos
   622       |       pos       |       pos
   623       |       pos       |       pos
   624       |       pos       |       pos
   625       |       pos       |       pos
   626       |       pos       |       pos
   627       |       neg       |       pos
   628       |       pos       |       pos
   629       |       pos       |       pos
   630       |       pos       |       pos
   631       |       pos       |       pos
   632       |       neg       |       pos
   633       |       pos       |       pos
   634       |       pos       |       pos
   635       |       pos       |       pos
   636       |       neg       |       pos
   637       |       neg       |       pos
   638       |       pos       |       pos
   639       |       pos       |       pos
   640       |       pos       |       pos
   641       |       pos       |       pos
   642       |       neg       |       pos
   643       |       neg       |       pos
   644       |       pos       |       pos
   645       |       pos       |       pos
   646       |       pos       |       pos
   647       |       pos       |       pos
   648       |       pos       |       pos
   649       |       pos       |       pos
   650       |       pos       |       pos
   651       |       pos       |       pos
   652       |       pos       |       pos
   653       |       pos       |       pos
   654       |       pos       |       pos
   655       |       pos       |       pos
   656       |       neg       |       pos
   657       |       pos       |       pos
   658       |       pos       |       pos
   659       |       neg       |       pos
   660       |       pos       |       pos
   661       |       pos       |       pos
   662       |       pos       |       pos
   663       |       pos       |       pos
   664       |       pos       |       pos
   665       |       pos       |       pos
   666       |       pos       |       pos
   667       |       pos       |       pos
   668       |       pos       |       pos
   669       |       pos       |       pos
   670       |       pos       |       pos
   671       |       neg       |       pos
   672       |       neg       |       pos
   673       |       neg       |       pos
   674       |       pos       |       pos
   675       |       pos       |       pos
   676       |       pos       |       pos
   677       |       pos       |       pos
   678       |       pos       |       pos
   679       |       neg       |       pos
   680       |       pos       |       pos
   681       |       pos       |       pos
   682       |       neg       |       pos
   683       |       neg       |       pos
   684       |       pos       |       pos
   685       |       pos       |       pos
   686       |       pos       |       pos
   687       |       pos       |       pos
   688       |       pos       |       pos
   689       |       neg       |       pos
   690       |       pos       |       pos
   691       |       pos       |       pos
   692       |       pos       |       pos
   693       |       pos       |       pos
   694       |       pos       |       pos
   695       |       pos       |       pos
   696       |       neg       |       pos
   697       |       pos       |       pos
   698       |       pos       |       pos
   699       |       pos       |       pos
   700       |       pos       |       pos
   701       |       pos       |       pos
   702       |       pos       |       pos
   703       |       pos       |       pos
   704       |       pos       |       pos
   705       |       pos       |       pos
   706       |       pos       |       pos
   707       |       pos       |       pos
   708       |       neg       |       pos
   709       |       neg       |       pos
   710       |       pos       |       pos
   711       |       neg       |       pos
   712       |       neg       |       pos
   713       |       pos       |       pos
   714       |       pos       |       pos
   715       |       pos       |       pos
   716       |       neg       |       pos
   717       |       neg       |       pos
   718       |       pos       |       pos
   719       |       pos       |       pos
   720       |       pos       |       pos
   721       |       pos       |       pos
   722       |       pos       |       pos
   723       |       pos       |       pos
   724       |       pos       |       pos
   725       |       neg       |       pos
   726       |       pos       |       pos
   727       |       pos       |       pos
   728       |       neg       |       pos
   729       |       pos       |       pos
   730       |       pos       |       pos
   731       |       neg       |       pos
   732       |       pos       |       pos
   733       |       pos       |       pos
   734       |       pos       |       pos
   735       |       pos       |       pos
   736       |       pos       |       pos
   737       |       neg       |       pos
   738       |       pos       |       pos
   739       |       pos       |       pos
   740       |       neg       |       pos
   741       |       neg       |       pos
   742       |       pos       |       pos
   743       |       neg       |       pos
   744       |       pos       |       pos
   745       |       pos       |       pos
   746       |       pos       |       pos
   747       |       pos       |       pos
   748       |       pos       |       pos
   749       |       neg       |       pos
   750       |       pos       |       pos
   751       |       pos       |       pos
   752       |       pos       |       pos
   753       |       pos       |       pos
   754       |       pos       |       pos
   755       |       neg       |       pos
   756       |       pos       |       pos
   757       |       pos       |       pos
   758       |       pos       |       pos
   759       |       pos       |       pos
   760       |       pos       |       pos
   761       |       pos       |       pos
   762       |       pos       |       pos
   763       |       neg       |       pos
   764       |       pos       |       pos
   765       |       pos       |       pos
   766       |       pos       |       pos
   767       |       pos       |       pos
   768       |       pos       |       pos
   769       |       neg       |       pos
   770       |       pos       |       pos
   771       |       pos       |       pos
   772       |       pos       |       pos
   773       |       neg       |       pos
   774       |       pos       |       pos
   775       |       pos       |       pos
   776       |       pos       |       pos
   777       |       pos       |       pos
   778       |       pos       |       pos
   779       |       pos       |       pos
   780       |       pos       |       pos
   781       |       neg       |       pos
   782       |       neg       |       pos
   783       |       pos       |       pos
   784       |       neg       |       pos
   785       |       pos       |       pos
   786       |       pos       |       pos
   787       |       pos       |       pos
   788       |       pos       |       pos
   789       |       pos       |       pos
   790       |       neg       |       pos
   791       |       pos       |       pos
   792       |       pos       |       pos
   793       |       pos       |       pos
   794       |       neg       |       pos
   795       |       neg       |       pos
   796       |       neg       |       pos
   797       |       pos       |       pos
   798       |       neg       |       pos
   799       |       pos       |       pos
   800       |       pos       |       pos
   801       |       neg       |       pos
   802       |       pos       |       pos
   803       |       pos       |       pos
   804       |       pos       |       pos
   805       |       neg       |       pos
   806       |       pos       |       pos
   807       |       pos       |       pos
   808       |       pos       |       pos
   809       |       neg       |       pos
   810       |       neg       |       pos
   811       |       pos       |       pos
   812       |       pos       |       pos
   813       |       pos       |       pos
   814       |       pos       |       pos
   815       |       pos       |       pos
   816       |       neg       |       pos
   817       |       pos       |       pos
   818       |       neg       |       pos
   819       |       pos       |       pos
   820       |       neg       |       pos
   821       |       neg       |       pos
   822       |       pos       |       pos
   823       |       pos       |       pos
   824       |       neg       |       pos
   825       |       pos       |       pos
   826       |       pos       |       pos
   827       |       neg       |       pos
   828       |       pos       |       pos
   829       |       pos       |       pos
   830       |       pos       |       pos
   831       |       pos       |       pos
   832       |       pos       |       pos
   833       |       pos       |       pos
   834       |       pos       |       pos
   835       |       pos       |       pos
   836       |       pos       |       pos
   837       |       pos       |       pos
   838       |       pos       |       pos
   839       |       pos       |       pos
   840       |       pos       |       pos
   841       |       pos       |       pos
   842       |       neg       |       pos
   843       |       pos       |       pos
   844       |       neg       |       pos
   845       |       pos       |       pos
   846       |       pos       |       pos
   847       |       pos       |       pos
   848       |       pos       |       pos
   849       |       pos       |       pos
   850       |       pos       |       pos
   851       |       pos       |       pos
   852       |       neg       |       pos
   853       |       pos       |       pos
   854       |       pos       |       pos
   855       |       pos       |       pos
   856       |       pos       |       pos
   857       |       pos       |       pos
   858       |       pos       |       pos
   859       |       pos       |       pos
   860       |       pos       |       pos
   861       |       pos       |       pos
   862       |       pos       |       pos
   863       |       pos       |       pos
   864       |       pos       |       pos
   865       |       pos       |       pos
   866       |       pos       |       pos
   867       |       pos       |       pos
   868       |       neg       |       pos
   869       |       neg       |       pos
   870       |       pos       |       pos
   871       |       pos       |       pos
   872       |       pos       |       pos
   873       |       neg       |       pos
   874       |       pos       |       pos
   875       |       pos       |       pos
   876       |       pos       |       pos
   877       |       neg       |       pos
   878       |       pos       |       pos
   879       |       pos       |       pos
   880       |       pos       |       pos
   881       |       pos       |       pos
   882       |       pos       |       pos
   883       |       pos       |       pos
   884       |       pos       |       pos
   885       |       pos       |       pos
   886       |       pos       |       pos
   887       |       pos       |       pos
   888       |       neg       |       pos
   889       |       pos       |       pos
   890       |       pos       |       pos
   891       |       pos       |       pos
   892       |       pos       |       pos
   893       |       pos       |       pos
   894       |       pos       |       pos
   895       |       pos       |       pos
   896       |       pos       |       pos
   897       |       neg       |       pos
   898       |       neg       |       pos
   899       |       pos       |       pos
   900       |       pos       |       pos
   901       |       pos       |       pos
   902       |       pos       |       pos
   903       |       neg       |       pos
   904       |       pos       |       pos
   905       |       pos       |       pos
   906       |       pos       |       pos
   907       |       pos       |       pos
   908       |       neg       |       pos
   909       |       pos       |       pos
   910       |       pos       |       pos
   911       |       pos       |       pos
   912       |       pos       |       pos
   913       |       pos       |       pos
   914       |       neg       |       pos
   915       |       pos       |       pos
   916       |       pos       |       pos
   917       |       pos       |       pos
   918       |       pos       |       pos
   919       |       pos       |       pos
   920       |       pos       |       pos
   921       |       pos       |       pos
   922       |       neg       |       pos
   923       |       pos       |       pos
   924       |       pos       |       pos
   925       |       pos       |       pos
   926       |       pos       |       pos
   927       |       pos       |       pos
   928       |       pos       |       pos
   929       |       pos       |       pos
   930       |       pos       |       pos
   931       |       pos       |       pos
   932       |       pos       |       pos
   933       |       pos       |       pos
   934       |       pos       |       pos
   935       |       pos       |       pos
   936       |       pos       |       pos
   937       |       neg       |       pos
   938       |       pos       |       pos
   939       |       pos       |       pos
   940       |       neg       |       pos
   941       |       neg       |       pos
   942       |       pos       |       pos
   943       |       pos       |       pos
   944       |       pos       |       pos
   945       |       pos       |       pos
   946       |       pos       |       pos
   947       |       neg       |       pos
   948       |       pos       |       pos
   949       |       pos       |       pos
   950       |       pos       |       pos
   951       |       pos       |       pos
   952       |       pos       |       pos
   953       |       neg       |       pos
   954       |       pos       |       pos
   955       |       neg       |       pos
   956       |       pos       |       pos
   957       |       pos       |       pos
   958       |       pos       |       pos
   959       |       pos       |       pos
   960       |       pos       |       pos
   961       |       pos       |       pos
   962       |       neg       |       pos
   963       |       pos       |       pos
   964       |       pos       |       pos
   965       |       pos       |       pos
   966       |       pos       |       pos
   967       |       neg       |       pos
   968       |       pos       |       pos
   969       |       pos       |       pos
   970       |       pos       |       pos
   971       |       neg       |       pos
   972       |       pos       |       pos
   973       |       pos       |       pos
   974       |       pos       |       pos
   975       |       neg       |       pos
   976       |       pos       |       pos
   977       |       pos       |       pos
   978       |       neg       |       pos
   979       |       pos       |       pos
   980       |       neg       |       pos
   981       |       pos       |       pos
   982       |       neg       |       pos
   983       |       pos       |       pos
   984       |       pos       |       pos
   985       |       pos       |       pos
   986       |       pos       |       pos
   987       |       pos       |       pos
   988       |       pos       |       pos
   989       |       pos       |       pos
   990       |       pos       |       pos
   991       |       pos       |       pos
   992       |       pos       |       pos
   993       |       pos       |       pos
   994       |       pos       |       pos
   995       |       pos       |       pos
   996       |       pos       |       pos
   997       |       neg       |       pos
   998       |       pos       |       pos
   999       |       neg       |       pos
   1000       |       pos       |       pos
   1001       |       pos       |       pos
   1002       |       pos       |       pos
   1003       |       pos       |       pos
   1004       |       pos       |       pos
   1005       |       pos       |       pos
   1006       |       neg       |       pos
   1007       |       pos       |       pos
   1008       |       pos       |       pos
   1009       |       neg       |       pos
   1010       |       neg       |       pos
   1011       |       pos       |       pos
   1012       |       pos       |       pos
   1013       |       pos       |       pos
   1014       |       pos       |       pos
   1015       |       pos       |       pos
   1016       |       pos       |       pos
   1017       |       neg       |       pos
   1018       |       pos       |       pos
   1019       |       pos       |       pos
   1020       |       pos       |       pos
   1021       |       neg       |       pos
   1022       |       neg       |       pos
   1023       |       pos       |       pos
   1024       |       pos       |       pos
   1025       |       pos       |       pos
   1026       |       pos       |       pos
   1027       |       neg       |       pos
   1028       |       pos       |       pos
   1029       |       pos       |       pos
   1030       |       neg       |       pos
   1031       |       pos       |       pos
   1032       |       pos       |       pos
   1033       |       pos       |       pos
   1034       |       pos       |       pos
   1035       |       neg       |       pos
   1036       |       pos       |       pos
   1037       |       pos       |       pos
   1038       |       pos       |       pos
   1039       |       pos       |       pos
   1040       |       pos       |       pos
   1041       |       pos       |       pos
   1042       |       neg       |       pos
   1043       |       pos       |       pos
   1044       |       neg       |       pos
   1045       |       pos       |       pos
   1046       |       pos       |       pos
   1047       |       pos       |       pos
   1048       |       pos       |       pos
